,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male,Retirement,EstimatedSalary / Age,CreditScore / Age,NumOfProducts / Tenure,EstimatedSalary / CreditScore,EstimatedSalary / Balance,EstimatedSalary / Tenure,EstimatedSalary / NumOfProducts,CreditScore / Tenure
0,4,3,2,0.0,1,1,1,101348.88,1,0,0,0,0.0,-0.04609427911914483,-0.37068950201645146,0.24999999999999992,0.060901877715472535,1.655121777013714,0.8456042390125966,101348.88,0.8916544496932183
1,4,3,1,83807.86,1,0,1,112542.58,0,0,1,0,0.0,0.07851322397507556,-0.357423431394937,0.7499999999999999,0.20168705218559366,6.819389160668433e-08,1.9507419908233603,112542.58,1.7825704512135527
2,3,3,8,159660.8,3,1,0,113931.57,1,0,0,0,0.0,0.06639140623943288,-0.776022882726029,0.24999999999999992,0.4773722899490301,-1.0208468826028095e-05,-0.192481544666444,37977.19,-0.4817143581111654
3,5,2,1,0.0,2,0,0,93826.63,0,0,0,0,0.0,-0.04881925609157275,0.09273899834775368,2.2499999999999996,-0.13341854152880336,1.5322747930211338,1.4908656259264859,46913.315,2.197621762502036
4,6,3,2,125510.82,1,1,1,79084.1,0,0,1,0,0.0,-0.2615767225593145,0.3611020100060282,0.24999999999999992,-0.4047384589169664,-1.1571920453764117e-05,0.48088694025125034,79084.1,1.594048976489113
5,4,3,8,113755.78,2,1,0,149756.71,1,0,1,1,0.0,0.325804259098393,-0.38218497085553427,-0.08333333333333336,0.5117939367759378,-3.6269040089347364e-07,0.0031345552687759796,74878.355,-0.33677580496280607
6,6,3,7,0.0,2,1,1,10062.8,0,0,0,1,0.0,-0.8765593565579236,-0.1230550571179843,0.0,-0.9369634831013102,0.16431522199288906,-0.7527682031739855,5031.4,-0.05323342563935497
7,2,1,4,115046.74,4,1,0,119346.88,1,1,0,0,0.0,0.5930805036814784,-0.6286072058042435,1.65,1.073217534878168,-4.92064421422449e-06,0.358423735429309,29836.72,-0.3045447141228213
8,3,3,4,142051.07,2,0,1,74940.5,0,0,0,1,0.0,-0.3126298472861665,-0.8583808307101429,0.45,-0.03229337870406281,-1.324645597356924e-05,-0.07802634298251128,37470.25,-0.07649454308519303
9,5,1,2,134603.88,1,1,1,71725.73,0,0,0,1,0.0,0.045309656785409706,1.1709630998276692,0.24999999999999992,-0.32686554570807463,-1.3159823478479344e-05,0.36035016289766614,71725.73,1.0892979312591626
10,3,2,6,102016.72,2,0,0,80181.12,0,0,0,1,0.0,0.01901908840791138,-0.036878967641069925,0.10714285714285708,-0.017298898544716824,-9.026547200082722e-06,-0.2516797335629037,40090.56,-0.30245968398762013
11,2,1,3,0.0,2,1,0,76390.01,0,0,1,1,0.0,0.2429592836979717,0.49800575621369064,0.7499999999999999,-0.005151974901655685,1.2475147573902114,0.12392088209536375,38195.005,0.14288972145300535
12,2,2,10,0.0,2,1,0,26260.98,0,0,0,0,0.0,-0.6621198472881983,-0.47808552596514287,-0.2045454545454545,-0.6541912945766944,0.4288501097151708,-0.6972609177779983,13130.49,-0.5957855143716033
13,3,1,5,0.0,2,0,0,190857.79,0,0,0,0,0.0,1.9143159527698388,0.680128626503456,0.24999999999999992,1.2723736408243913,3.1169051043377602,0.7486295131043376,95428.895,-0.1558560026062877
14,4,2,7,0.0,2,1,1,65951.65,0,0,1,0,0.0,-0.24461767643636373,0.12471796329525478,0.0,-0.3334612739440337,1.0770443470969095,-0.40945192512950096,32975.825,-0.2664603355595374
